instrument,samba,mix,sdr,isr,sir,sar,perm
TB,SA,10,-4.354520953337055,3.9347381877017717,-10.674751825798484,9.544865943166924,8
TT,SA,10,-3.5225681628437098,0.28343423356808184,-18.306178539377598,12.248824734976917,9
CX,MA,2,7.798897139868098,12.925045019264266,24.004805665557853,12.646424748780126,0
PD,MA,2,10.968976388571628,19.252352248042367,16.11653944990351,22.620143874620343,0
RR,MA,2,5.896189717964867,6.358498993382476,15.826149533455832,11.925677569192267,0
SK,MA,2,4.420321542640495,5.092161873433624,12.858926200309732,11.054472443962439,1
SU,MA,2,19.365046329358133,49.134467915832616,20.088562943032983,26.709948120820222,1
TT,MA,2,11.940996240621441,42.01133744910472,12.089020899870288,22.075529598159918,1
CX,MA,3,5.237293017317813,6.422167568310185,18.481028955969947,8.43281682043488,0.0
PD,MA,3,-0.17286066993299867,0.09807821696795033,-9.809341034230112,9.962600164848212,0.0
RR,MA,3,3.224784699463832,3.847303459754017,6.102972504240722,10.559657363777808,1.0
SK,MA,3,-4.6493767151637,3.3905321280487204,-14.182739316100934,10.653661250781292,1.0
SU,MA,3,1.4018859755671749,13.115232788098393,0.4612458477874018,23.754672470120685,2.0
TT,MA,3,1.3062499040624154,2.5684199439320023,-2.287615135188577,9.513108111981447,2.0
CX,MA,4,2.1926334051153438,2.870973079277589,3.1908793213281896,6.733994678605507,0.0
PD,MA,4,-0.11086808364447412,0.044316809888318466,-16.99055230621621,8.562039992679168,1.0
RR,MA,4,2.1447134996285317,2.4900000543289265,5.269480413236035,8.599267555880303,1.0
SK,MA,4,-15.974886872122406,2.008394633527729,-24.511851773744247,9.534458321007449,2.0
SU,MA,4,-0.13349325071543874,0.13282188888132873,-16.957373713628066,12.33642734520362,2.0
TT,MA,4,-0.020620222609271856,0.21725899064079945,-14.189973804897068,7.044677399856752,3.0
CX,MA,5,0.4733306834607062,1.1978990383526025,-4.940002763654142,5.858302105685089,0
PD,MA,5,-0.08849725400869451,0.02954492662318807,-18.295317141918016,8.05084805623039,1
RR,MA,5,1.6717403937980293,1.8802937339424317,4.3172753727227695,6.980975214577914,2
SK,MA,5,-20.32556389282181,-0.002977731320380587,-34.609522672614766,21.834237756996366,2
SU,MA,5,-0.5275681262258253,0.08312970286278618,-20.550096654966453,11.479334672336261,3
TT,MA,5,-0.1424498733545978,0.029690937949688176,-17.835551095499774,5.489588462575684,4
CX,MA,6,0.2771674253455964,0.7698739319244398,-6.8169963103511,5.331157133399679,0
PD,MA,6,-0.07940870921594212,0.02188182774015509,-19.098900228988754,7.1458910949021,1
RR,MA,6,1.4524837353441415,1.6657667990263783,2.5845354972303234,6.190001532291214,2
SK,MA,6,-21.053149452054377,-0.16652617261251318,-34.40300420705497,23.806924690251403,3
